Gm#,Date,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
57,Tuesday Jun 6,WSN,@,LAD,W,2,1,,37-20,1,up12.5,Scherzer,McCarthy,Glover,2:57,N,44250,+++
58,Wednesday Jun 7,WSN,@,LAD,L,1,2,,37-21,1,up11.5,Kershaw,Strasburg,Jansen,2:45,D,43230,-
59,Thursday Jun 8,WSN,,BAL,W,6,1,,38-21,1,up11.5,Ross,Asher,,2:56,N,37833,+
60,Friday Jun 9,WSN,,TEX,L,2,5,,38-22,1,up10.5,Cashner,Roark,Bush,3:00,N,38332,-
61,Saturday Jun 10,WSN,,TEX,L,3,6,11,38-23,1,up10.5,Kela,Kelley,,4:14,D,32157,--
62,Sunday Jun 11,WSN,,TEX,L,1,5,,38-24,1,up 9.5,Bibens-Dirkx,Scherzer,,2:53,D,32027,---
63,Monday Jun 12,WSN,,ATL,L,10,11,,38-25,1,up 8.5,Motte,Albers,Johnson,3:49,N,28909,----
64,Tuesday Jun 13,WSN,,ATL,W,10,5,,39-25,1,up 9.5,Gott,Dickey,,3:16,N,31762,+
65,Wednesday Jun 14,WSN,,ATL,L,2,13,,39-26,1,up 8.5,Teheran,Roark,,3:17,D,36227,-
66,Thursday Jun 15,WSN,@,NYM,W,8,3,,40-26,1,up 9.5,Gonzalez,Gsellman,,2:52,N,30319,+
67,Friday Jun 16,WSN,@,NYM,W,7,2,,41-26,1,up10.0,Scherzer,Matz,,2:56,N,37919,++
68,Saturday Jun 17,WSN,@,NYM,W,7,4,,42-26,1,up11.0,Strasburg,Lugo,Romero,3:32,D,38059,+++
69,Sunday Jun 18,WSN,@,NYM,L,1,5,,42-27,1,up10.5,deGrom,Ross,,2:50,D,40459,-
70,Monday Jun 19,WSN,@,MIA,L-wo,7,8,,42-28,1,up 9.5,Ramos,Romero,,3:31,N,20224,--
71,Tuesday Jun 20,WSN,@,MIA,W,12,3,,43-28,1,up10.5,Gonzalez,Volquez,,3:02,N,20868,+
72,Wednesday Jun 21,WSN,@,MIA,L,1,2,,43-29,1,up 9.5,Barraclough,Scherzer,Ramos,2:39,D,22659,-
73,Friday Jun 23,WSN,,CIN,W-wo,6,5,10,44-29,1,up 9.0,Albers,Iglesias,,3:51,N,36347,+
74,Saturday Jun 24,WSN,,CIN,W,18,3,,45-29,1,up 9.0,Ross,Bailey,,3:22,D,40139,++
75,Sunday Jun 25,WSN,,CIN,L,2,6,,45-30,1,up 9.0,Feldman,Roark,,3:07,D,35387,-
76,Monday Jun 26,WSN,,CHC,L,4,5,,45-31,1,up 8.5,Butler,Gonzalez,,3:54,N,29651,--
77,Tuesday Jun 27,WSN,,CHC,W,6,1,,46-31,1,up 8.5,Scherzer,Arrieta,,3:09,N,31202,+
78,Wednesday Jun 28,WSN,,CHC,W,8,4,,47-31,1,up 9.5,Strasburg,Lackey,,2:50,N,31072,++
79,Thursday Jun 29,WSN,,CHC,L,4,5,,47-32,1,up 9.5,Pena,Treinen,Davis,3:12,D,37097,-
80,Friday Jun 30,WSN,@,STL,L,1,8,,47-33,1,up 8.5,Leake,Roark,,2:54,N,41398,--
81,Saturday Jul 1,WSN,@,STL,L,1,2,,47-34,1,up 7.5,Wacha,Gonzalez,Bowman,2:53,N,43614,---
82,Sunday Jul 2,WSN,@,STL,W,7,2,,48-34,1,up 7.5,Scherzer,Martinez,,2:57,N,43640,+
83,Monday Jul 3,WSN,,NYM,W-wo,3,2,,49-34,1,up 8.0,Albers,Sewald,,3:18,N,41681,++
84,Tuesday Jul 4,WSN,,NYM,W,11,4,,50-34,1,up 9.0,Ross,Lugo,,3:17,D,37120,+++
85,Thursday Jul 6,WSN,,ATL,L,2,5,,50-35,1,up 8.5,Foltynewicz,Gonzalez,Johnson,3:10,N,22724,-
86,Friday Jul 7,WSN,,ATL,W-wo,5,4,10,51-35,1,up 9.5,Albers,Krol,,3:28,N,32664,+
87,Saturday Jul 8,WSN,,ATL,L,0,13,,51-36,1,up 8.5,Teheran,Strasburg,,3:12,D,38439,-
88,Sunday Jul 9,WSN,,ATL,W,10,5,,52-36,1,up 9.5,Grace,Newcomb,,3:32,D,35030,+
89,Friday Jul 14,WSN,@,CIN,W,5,0,,53-36,1,up 9.5,Gonzalez,Adleman,Grace,2:55,N,28916,++
90,Saturday Jul 15,WSN,@,CIN,W,10,7,,54-36,1,up 9.5,Scherzer,Castillo,Grace,3:32,N,36462,+++
91,Sunday Jul 16,WSN,@,CIN,W,14,4,,55-36,1,up 9.5,Roark,Bailey,,3:31,D,25712,++++
92,Monday Jul 17,WSN,@,CIN,W,6,1,,56-36,1,up10.5,Strasburg,Feldman,,2:58,D,17574,+++++
93,Tuesday Jul 18,WSN,@,LAA,W,4,3,,57-36,1,up11.5,Jackson,Bedrosian,Doolittle,2:57,N,43345,++++++
94,Wednesday Jul 19,WSN,@,LAA,L,0,7,,57-37,1,up11.5,Meyer,Gonzalez,,2:47,N,41065,-
95,Friday Jul 21,WSN,@,ARI,L-wo,5,6,,57-38,1,up10.0,Rodney,Romero,,3:23,N,37858,--
96,Saturday Jul 22,WSN,@,ARI,W,4,3,,58-38,1,up11.0,Roark,Banda,Doolittle,2:56,N,39176,+
97,Sunday Jul 23,WSN,@,ARI,W,6,2,,59-38,1,up12.0,Blanton,Ray,,3:39,D,32720,++
98,Tuesday Jul 25,WSN,,MIL,L,0,8,,59-39,1,up11.5,Davies,Jackson,,3:05,N,28428,-
99,Wednesday Jul 26,WSN,,MIL,W,8,5,,60-39,1,up12.5,Madson,Barnes,,2:58,N,35296,+
100,Thursday Jul 27,WSN,,MIL,W,15,2,,61-39,1,up13.0,Scherzer,Blazek,,3:14,D,32118,++
101,Saturday Jul 29,WSN,,COL,L,2,4,,61-40,1,up12.5,Marquez,Roark,Holland,2:49,N,33989,-
102,Sunday Jul 30 (1),WSN,,COL,L,6,10,,61-41,1,up13.0,Freeland,Fedde,Holland,3:48,D,33248,--
103,Sunday Jul 30 (2),WSN,,COL,W,3,1,,62-41,1,up13.0,Jackson,Gray,Doolittle,2:31,N,32118,+
104,Monday Jul 31,WSN,@,MIA,W,1,0,,63-41,1,up14.0,Gonzalez,Urena,Doolittle,2:12,N,18962,++
105,Tuesday Aug 1,WSN,@,MIA,L,6,7,,63-42,1,up13.0,McGowan,Albers,Ziegler,3:05,N,17742,-
106,Wednesday Aug 2,WSN,@,MIA,L,0,7,,63-43,1,up12.0,Worley,Cole,,2:54,N,17890,--
107,Friday Aug 4,WSN,@,CHC,W,4,2,,64-43,1,up13.0,Roark,Hendricks,Doolittle,2:43,D,41396,+
108,Saturday Aug 5,WSN,@,CHC,L,4,7,,64-44,1,up13.0,Lackey,Jackson,Davis,3:31,D,41857,-
109,Sunday Aug 6,WSN,@,CHC,W,9,4,,65-44,1,up13.0,Kintzler,Edwards,,3:06,D,41047,+
110,Monday Aug 7,WSN,,MIA,W,3,2,,66-44,1,up14.0,Kintzler,Garcia,Doolittle,2:58,N,21799,++
111,Tuesday Aug 8,WSN,,MIA,L,3,7,,66-45,1,up13.0,Worley,Cole,,3:07,N,25406,-
112,Wednesday Aug 9,WSN,,MIA,W,10,1,,67-45,1,up14.0,Gonzalez,Conley,,3:02,N,25951,+
113,Thursday Aug 10,WSN,,MIA,W,3,2,,68-45,1,up15.0,Madson,Tazawa,Doolittle,2:51,N,23904,++
114,Saturday Aug 12,WSN,,SFG,W,3,1,,69-45,1,up14.5,Jackson,Samardzija,Doolittle,3:11,N,32344,+++
115,Sunday Aug 13 (1),WSN,,SFG,L,2,4,,69-46,1,up14.0,Stratton,Cole,Dyson,3:09,D,30866,-
116,Sunday Aug 13 (2),WSN,,SFG,W-wo,6,2,11,70-46,1,up14.0,Albers,Suarez,,3:31,N,29085,+
117,Tuesday Aug 15,WSN,,LAA,W,3,1,,71-46,1,up14.5,Gonzalez,Skaggs,Doolittle,2:36,N,32355,++
118,Wednesday Aug 16,WSN,,LAA,L,2,3,,71-47,1,up13.5,Nolasco,Roark,Bedrosian,2:51,D,30307,-
119,Thursday Aug 17,WSN,@,SDP,W,2,1,,72-47,1,up14.0,Jackson,Yates,Doolittle,3:01,N,22097,+
120,Friday Aug 18,WSN,@,SDP,W,7,1,,73-47,1,up14.0,Blanton,Perdomo,,2:48,N,26747,++
121,Saturday Aug 19,WSN,@,SDP,L,1,3,,73-48,1,up14.0,Wood,Strasburg,Hand,2:47,N,31590,-
122,Sunday Aug 20,WSN,@,SDP,W,4,1,,74-48,1,up14.0,Gonzalez,Lamet,Doolittle,3:23,D,29292,+
123,Tuesday Aug 22,WSN,@,HOU,W,4,3,,75-48,1,up13.5,Roark,Morton,Doolittle,3:05,N,23798,++
124,Wednesday Aug 23,WSN,@,HOU,L,1,6,,75-49,1,up13.5,Fiers,Jackson,,2:48,N,23434,-
125,Thursday Aug 24,WSN,@,HOU,W,5,4,11,76-49,1,up13.5,Albers,Clippard,Solis,3:47,N,24761,+
126,Friday Aug 25,WSN,,NYM,L,2,4,,76-50,1,up12.5,deGrom,Cole,Ramos,3:08,N,34036,-
